Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Exit Code,Total Time,Virtual Memory (kB),Real Memory (kB)
tm_send_all,'13983915392600478398 4900796645634491215',obc_update_status,'',gssb_msp_get_temp,'',fp_show,'',fp_del_cmd,'1348006018 -1250129206 -1358954966 465978812 -520904128 -691916904',com_update_status,'',gssb_fss_get_sun,'',com_send_tc,'2130008043 |.im`v',gssb_arm_manual,'-1782791722',gssb_get_version,'',gssb_pwr,'981700809 787317357',tm_send_all,'17340525223166826387 16085137864747364331',init_dummy_sensor,'',gssb_get_status,'',gssb_pwr,'-1014303449 -1810145251',gssb_fss_set_config,'1740583112',gssb_get_burn_config,'',tm_send_all,'2166297044692438712 17349895103971585066',obc_get_mem,'',obc_reset_wdt,'',obc_get_tle,'',obc_set_tle,"'-1683882408 Bv>)P"".p4'",gssb_select,'781860661',obc_get_sensors,'',set_state,'3216571371412083536 12385359935330048243 -1928849302',com_debug,'',rw_set_speed,'1744407442 -201268615',rw_get_current,'',fp_set_cmd_dt,'-305596146 -1652452465 129879262 LT)VfCD X',gssb_fss_commit_config,'',init_dummy_sensor,'',eps_get_hk,'',gssb_set_burn_config,'-150874461 -920132548 170442062 -1256502984 448253958 -847529340 -557412952',eps_set_heater,'816142514 -1362736711',gssb_commit_addr,'',fp_test_params,'-42170455 j8!t}f*V 2082647801',gssb_antenna_release,'265313557 13133690 -1856535501 -1134047877',drp_set_deployed,'2111893562',gssb_pwr,'-1366608039 1233995502',tm_send_all,'3279198932142084403 9122534443868100290',fp_reset,'',gssb_antenna_release,'-1512981975 1079765374 -652109701 1732892728',com_set_node,'956599116',gssb_pwr,'243849138 -1188683689',obc_update_status,'',gssb_get_status,'',obc_update_status,'',gssb_fss_get_temp,'',drp_ebf,'1323327755',com_get_node,'',-6,6.904150485992432,444020.0,10752.0
gssb_unlock_config,'-179529677',tm_send_status,'1168512691',com_ping,'-322852163',drp_add_hrs_alive,'726547739',gssb_reset,'',fp_set_cmd_unix,'-1732159069 994326817 -1637803836 td|#k^gN/ O$',gssb_msp_get_temp,'',fp_del_cmd_unix,'-624544147',eps_hard_reset,'',gssb_get_temp_int,'',gssb_fss_get_sun,'',gssb_scan,'1116508874 -975658338',drp_set_deployed,'1596052102',fp_set_cmd,'-725304950 -438235416 556850819 511169215 -1703751396 -1077714921 1636824406 -1722451263  pN?fZoP9',fp_set_cmd_dt,'-363692716 1091424029 1241380115 ) uo|',gssb_get_uuid,'',drp_get_vars,'',obc_get_sensors,'',com_get_config,':_N0m~',obc_get_mem,'',tm_send_status,'-2125376906',tm_set_ack,'11523061536301997684 12106166182763616',tm_send_from,'13456010966003861933 17007920694564433408 13389502012286103869',obc_reset_wdt,'',gssb_unlock_config,'471074981',gssb_fss_set_config,'-1215424555',com_send_tc,'1232087655 Iz[',drp_get_vars,'',obc_set_tle,'58645790 `t&=_',test,'',init_dummy_sensor,'',gssb_burn,'',eps_get_config,'',gssb_burn,'',obc_reset_wdt,'',eps_get_config,'',set_state,'594797754624297835 15791400932921069340 -685363585',drp_get_vars,'',drp_test_system_vars,'',obc_set_tle,'223202220 -hG-Vab;=f',obc_get_tle,'',obc_update_tle,'',obc_set_pwm_duty,'-1167715605 -689577593',gssb_get_sun,'',drp_test_system_vars,'',eps_update_status,'',obc_debug,'-473136067',com_set_node,'1112458388',drp_clear_gnd_wdt,'',gssb_antenna_release,'-978807698 1603231608 -2125777508 -570249925',-6,6.588111162185669,444020.0,10616.0
com_get_config,'{5sXX@NN/;',gssb_set_addr,'350857096',drp_set_var,'-1290471337 2086145982',gssb_arm_auto,'-744644192',gssb_get_uuid,'',drp_set_var,'-35595013 136667186',obc_get_mem,'',help,'',gssb_antenna_release,'2022511392 22589430 -1013862071 171197048',tm_get_last,'371918677153707676',gssb_get_status,'',fp_set_cmd,"'679780944 1193572768 -454640480 1066936331 -123683354 74200350 -822618956 552694546 ]j ,zhzkx'",gssb_set_burn_config,'-13587669 1157712812 -1545503100 -1376169924 -284265839 827250214 412027909',init_dummy_sensor,'',gssb_arm_manual,'1654979535',obc_set_pwm_freq,'-2011605848 -160024391182678269800329260580300281117',gssb_set_burn_config,'293330203 508330180 -873276160 -1581579368 -1547574309 -1191272338 1878736822',com_update_status,'',gssb_set_burn_config,'1020810512 -2095542294 -1054013533 -943493419 -1059665561 1280790735 74293049',fp_show,'',com_send_cmd,'-1856087643 ',fp_set_cmd_dt,'285090943 -359943691 1751278215 98 q2#WpU',tm_get_last,'9081715493339098400',rw_get_speed,'',com_update_status,'',gssb_get_temp_int,'',gssb_reset,'',obc_update_tle,'',drp_add_hrs_alive,'-324950200',gssb_fss_get_sun,'',fp_set_cmd_unix,'2081522667 -349649092 -1458152253 'W bosSe',eps_get_hk,'',gssb_update_status,'',gssb_set_addr,'-91345011',fp_del_cmd_unix,'613236900',gssb_unlock_config,'-1520134162',gssb_burn,'',drp_set_var,'-1664901073 1058290836',obc_set_pwm_freq,'-1092232303 -230175345785910443168875853699173533033',gssb_get_temp,'',fp_set_cmd,'721906596 -1233652461 272565909 978301754 -701720483 -127362653 750899430 945317152 91 z'2V<6du',com_set_node,'-2107535156',gssb_set_burn_config,'1582490806 -1681131079 1833722464 2132648241 2089931235 2045022647 213913756',tm_get_last,'4112212230866814539',fp_reset,'',rw_set_speed,'1826405422 -1309731240',gssb_fss_get_sun,'',gssb_set_addr,'-929938131',drp_add_hrs_alive,'-879841357',rw_set_speed,'-133329911 2008461570',-6,6.984809398651123,444020.0,10636.0
gssb_arm_manual,'1756694371',obc_prop_tle,'-3569456744551503889',fp_reset,'',gssb_fss_set_config,'-482176361',com_ping,'-1961838767',obc_reset_wdt,'',tm_send_all,'15945854395120823863 7215186265254737883',gssb_get_temp_int,'',obc_prop_tle,'-2737315326312480',gssb_msp_get_temp,'',com_send_cmd,'-357912031 2<ql+Up{W',gssb_fss_commit_config,'',obc_ident,'',obc_prop_tle,'-3941221656205757499',fp_reset,'',init_dummy_sensor,'',gssb_pwr,'87999997 -1074243251',gssb_update_status,'',drp_get_vars,'',com_set_node,'-785522336',com_ping,'-1286147231',obc_set_pwm_freq,'-1842778115 85100295124649607801968680228632117815',gssb_msp_cal_temp,'-675961092 921318795',drp_set_deployed,'-1833300820',obc_get_sensors,'',gssb_scan,'2107661052 -2077559104',eps_set_heater,'1402270250 291951917',gssb_fss_get_sun,'',obc_update_status,'',com_update_status,'',tm_send_status,'2033392909',tm_send_status,'-1877908264',rw_get_speed,'',obc_get_tle,'',gssb_fss_commit_config,'',tm_send_all,'16133217260212006353 15505332922306766583',eps_get_config,'',obc_set_pwm_duty,'-360942754 -18321437',test,'s',gssb_update_status,'',com_update_status,'',obc_set_pwm_freq,'221332512 237661036702787628126853343809027041491',gssb_fss_commit_config,'',obc_get_mem,'',gssb_pwr,'1071929763 906401722',obc_ident,'',obc_get_time,'2116877509',help,'',set_state,'83015253285703651 4273397511146798162 1746083059',eps_set_heater,'448784320 294196479',-6,11.578048944473267,444020.0,10844.0
eps_hard_reset,'',gssb_get_temp,'',gssb_msp_get_temp,'',com_send_rpt,"'508561274 ""_T.W8IU^'",drp_get_vars,'',tm_send_all,'10412328320317746896 12880158686434242100',gssb_get_temp,'',tm_send_status,'847521904',gssb_burn,'',fp_reset,'',com_ping,'-1084922364',com_reset_wdt,'-52104088',fp_test_params,'-38841610 2d 1051881705',obc_update_tle,'',gssb_get_uuid,'',gssb_set_burn_config,'1790758099 279422376 -1002016726 -276734606 -511433191 -1897243032 123047614',com_get_config,'`z1',tm_send_all,'10445343280240833673 12388573106435627306',help,'',obc_ident,'',com_ping,'1860203292',tm_get_last,'4196138719758144616',gssb_msp_cal_temp,'484374125 -1154076127',drp_set_var,'-1642780395 -1488212494',obc_update_status,'',com_get_node,'',com_reset_wdt,'764461600',obc_pwm_pwr,'-134276328',com_send_tc,"'-1946868119 ""ciN)wRm`L'",com_send_rpt,'-382981563 Pj(:]>',gssb_set_burn_config,'491286369 1125404212 -1935630549 690904879 -2067479531 792580447 -915697565',eps_get_config,'',eps_get_config,'',fp_del_cmd,'-1870375255 474947139 -1215282988 1521081586 277015407 -1440636091',gssb_get_uuid,'',eps_update_status,'',rw_get_current,'',gssb_pwr,'-1094746181 1169096784',tm_send_from,'18041519822546245033 3560071430267085929 8678870112471567680',obc_reset_wdt,'',gssb_set_burn_config,'2078455331 949488766 -1929281571 283434364 -1444307590 1550997656 1111229997',gssb_set_addr,'513731027',gssb_antenna_release,'2130061171 1772472360 460164866 1626655610',com_set_node,'536610232',tm_send_all,'18046557469718617412 13440376201203566604',gssb_msp_get_temp,'',set_state,'5629134538129560377 8791166826066339353 1136036871',com_debug,'',help,'',com_ping,'-1296238625',-6,6.955291509628296,444020.0,10880.0
gssb_get_temp_int,'',gssb_get_status,'',obc_update_tle,'',gssb_get_version,'',tm_get_last,'15454284942559903945',gssb_get_sun,'',obc_set_pwm_freq,'1501338838 295163517192500775064993020562461736761',obc_get_time,'-1626992912',eps_hard_reset,'',obc_update_tle,'',test,'Zoc#ju|J',com_reset_wdt,'-394136621',gssb_get_status,'',gssb_get_temp_int,'',gssb_get_uuid,'',obc_set_tle,'2141247906 g`u$7.54-',fp_set_cmd_unix,'-94402677 661407237 -599052317 )6WSa ',tm_parse_status,'',gssb_get_status,'',gssb_get_sun,'',gssb_pwr,'4825042 1158138737',com_reset_wdt,'-872872713',gssb_scan,'381415963 -1833145610',eps_set_heater,'828226233 -1571977281',eps_hard_reset,'',gssb_fss_commit_config,'',tm_parse_status,'',fp_set_cmd_dt,'672487967 1746189165 657451087 H: jR_5`txxz&',gssb_scan,'1779888187 230459748',tm_send_last,'11414011874592704273 13907481551965181573',gssb_commit_addr,'',obc_get_time,'1793465025',gssb_set_addr,'-571306736',help,'',gssb_fss_set_config,'1391028842',gssb_select,'-2006296020',gssb_fss_commit_config,'',fp_set_cmd_unix,'-45100203 165305820 -751096049 #N~~= E_}PK',gssb_get_burn_config,'',gssb_set_burn_config,'1089121560 -256031329 780563560 298713822 -1687497215 356666999 1546880343',gssb_pwr,'931331697 -1889507081',init_dummy_sensor,'',com_send_cmd,'2016439694 iu8e~ck',gssb_arm_manual,'1548908129',gssb_get_version,'',com_set_node,'594503940',gssb_antenna_release,'-1737060676 2087691201 740347161 1025749306',gssb_get_temp_int,'',drp_set_deployed,'738232845',fp_set_cmd_dt,'-1143185336 574673202 -1685715223  WBnq{$}',-11,7.4296557903289795,444020.0,10488.0
drp_test_system_vars,'',gssb_fss_get_sun,'',eps_hard_reset,'',tm_set_ack,'6917274516908641091 2671905262304251572',gssb_get_sun,'',init_dummy_sensor,'',rw_set_speed,'-2126649922 1079278799',obc_ident,'',fp_del_cmd_unix,'1136466787',com_debug,'',gssb_antenna_release,'2144397833 -686290087 -1493305537 721279371',obc_set_pwm_duty,'-1877586044 778689649',fp_reset,'',drp_clear_gnd_wdt,'',fp_test_params,'-1608581196 Uc9a 576042712',tm_send_all,'2614057217359950379 15644141009238111181',tm_send_last,'16725581583896083628 13723879122987503240',tm_parse_status,'',tm_set_ack,'13126655222678257753 15252814359663099281',eps_update_status,'',com_send_cmd,"'-407980963 NXZG^f""w('",drp_clear_gnd_wdt,'',com_get_node,'',drp_add_hrs_alive,'1693458254',gssb_set_addr,'-928385073',drp_clear_gnd_wdt,'',obc_get_mem,'',com_update_status,'',gssb_set_burn_config,'-1768937146 1366643288 2101568942 1850263477 -1371815231 -638790643 -1852106056',gssb_get_sun,'',tm_parse_status,'',com_get_node,'',tm_set_ack,'7354166455581386923 4555778391719261879',obc_prop_tle,'6359705775290470484',drp_ebf,'-1959961865',com_set_node,'-1526051217',obc_update_status,'',gssb_set_burn_config,'-850268545 -1669020532 772103069 -2115401020 -57485204 293236985 -1995452923',obc_get_tle,'',eps_get_hk,'',gssb_burn,'',obc_get_mem,'',gssb_commit_addr,'',rw_set_speed,'509934414 1012181146',tm_send_all,'16102248583369632310 13708101142068533326',gssb_arm_auto,'1791769385',obc_ident,'',test,'TI/A0GbD.',com_send_data,'Oh'j!U]0G9',drp_ebf,'1042198277',-6,10.180332899093628,444020.0,10884.0
obc_get_tle,'',obc_set_pwm_freq,'845938224 178423343150296219582380402844380753414',obc_reset_wdt,'',rw_set_speed,'1602266537 -471627241',gssb_fss_commit_config,'',eps_update_status,'',gssb_fss_get_sun,'',gssb_burn,'',gssb_fss_set_config,'-453955426',tm_parse_status,'',drp_ebf,'225195430',tm_parse_status,'',gssb_burn,'',obc_set_pwm_duty,'-656774326 982688032',com_get_config,'iE:?S',gssb_unlock_config,'-799237776',gssb_set_addr,'-1471660750',com_send_tc,'905370480 F7+U=',drp_get_vars,'',drp_test_system_vars,'',obc_get_tle,'',gssb_fss_set_config,'1868154366',rw_get_speed,'',fp_show,'',eps_update_status,'',gssb_get_temp,'',obc_reset_wdt,'',obc_get_mem,'',eps_hard_reset,'',obc_update_tle,'',obc_get_time,'-1107885197',eps_get_config,'',obc_get_tle,'',gssb_pwr,'756551916 -658057791',obc_prop_tle,'2363006033481493433',rw_set_speed,'-678017338 87972638',gssb_get_burn_config,'',gssb_pwr,'-400543868 1910306126',gssb_get_version,'',com_debug,'',com_send_rpt,'-964096481 UQ',eps_get_hk,'',eps_hard_reset,'',drp_test_system_vars,'',gssb_msp_cal_temp,'2140405220 -953667149',gssb_set_addr,'1027078259',com_reset_wdt,'1964285857',drp_add_hrs_alive,'315683050',gssb_fss_get_temp,'',fp_del_cmd,'95337586 118770092 1426631890 1366068919 -960165876 2039396867',-6,8.536849975585938,444020.0,10492.0
tm_set_ack,'5256162048654870827 15223724475011777335',com_debug,'',gssb_msp_cal_temp,'1906674941 1638972839',tm_send_status,'-1371086008',gssb_get_burn_config,'',gssb_arm_auto,'1175618762',tm_send_status,'-3921732',gssb_msp_cal_temp,'730023925 947235579',fp_set_cmd,'-830197374 -907929948 -855717248 -1583235160 1714472835 1504762970 1319643277 -481346196  )%t&F8=$`',obc_update_tle,'',eps_get_hk,'',gssb_get_temp_int,'',drp_test_system_vars,'',rw_get_current,'',rw_get_current,'',fp_del_cmd_unix,'910327774',gssb_pwr,'1900763897 -1312582139',eps_set_heater,'295663271 -910018743',eps_get_config,'',gssb_fss_get_temp,'',drp_clear_gnd_wdt,'',obc_update_status,'',gssb_pwr,'1175347727 630236636',rw_get_speed,'',gssb_get_temp_int,'',gssb_get_uuid,'',com_ping,'-488908773',obc_prop_tle,'-2264505027062094396',drp_get_vars,'',com_set_config,'f@Z+a Wd2#`9a',gssb_fss_set_config,'1974633490',obc_set_tle,'-247291602 sncS=E[M-',gssb_reset,'',gssb_burn,'',eps_update_status,'',fp_set_cmd_unix,'-1646785357 1497608195 348224862  ',gssb_get_temp,'',gssb_get_status,'',tm_send_status,'343421049',obc_prop_tle,'6712776875253348084',gssb_fss_get_temp,'',tm_set_ack,'12651377259192132147 4780603258947251961',tm_send_from,'8976999069633486510 16173926285387537674 7657972232368398491',gssb_msp_get_temp,'',com_ping,'1513541205',eps_set_heater,'-744315330 -2133819547',tm_get_last,'2030219529091396776',gssb_update_status,'',com_send_data,'',gssb_set_addr,'547984880',-6,6.548909425735474,444020.0,10868.0
gssb_get_sun,'',obc_update_status,'',init_dummy_sensor,'',obc_reset_wdt,'',fp_set_cmd_dt,'385005144 1631029940 1376863903 * nR',com_send_data,'+sx',gssb_reset,'',fp_set_cmd_dt,'777389493 1744461384 260689818 lg ',eps_get_hk,'',gssb_fss_get_sun,'',fp_test_params,'2091525744 U)'ra\.; 94398464',obc_update_tle,'',gssb_set_addr,'-1291185832',drp_ebf,'529190848',obc_debug,'1340069577',gssb_arm_manual,'-221825747',gssb_fss_get_temp,'',gssb_get_uuid,'',fp_reset,'',obc_set_pwm_freq,'147873190 122791442549923737326055235348941084818',gssb_fss_commit_config,'',gssb_get_model,'',com_send_data,'{wUN#V}Y'',rw_get_speed,'',eps_get_hk,'',gssb_arm_manual,'1024510110',rw_get_speed,'',gssb_select,'-327090968',obc_ident,'',obc_debug,'-721875888',com_update_status,'',gssb_reset,'',gssb_get_uuid,'',obc_get_sensors,'',gssb_msp_get_temp,'',rw_set_speed,'-386354229 -732131846',obc_debug,'993840981',obc_prop_tle,'1663880761095331691',tm_send_last,'17603826963942640090 11682362379555833740',rw_get_speed,'',com_set_config,'0d7\sS` Q!;MMi&F`',com_get_node,'',drp_get_vars,'',obc_pwm_pwr,'-1255529676',drp_test_system_vars,'',gssb_unlock_config,'1770531517',fp_set_cmd_unix,'-1548953431 1673832895 -69716856 _zgl9m?! ',rw_get_speed,'',gssb_msp_cal_temp,'-1951155825 -70090543',gssb_get_model,'',-6,6.450517892837524,444020.0,10852.0
gssb_msp_get_temp,'',gssb_get_temp_int,'',gssb_reset,'',com_update_status,'',tm_parse_status,'',com_send_tc,'-911759124 ~&H7s',eps_set_heater,'-433099443 -1863552471',gssb_commit_addr,'',help,'',gssb_msp_get_temp,'',gssb_set_burn_config,'1698233876 1089970559 -1780943889 930810531 -527723380 -581364995 882324080',obc_pwm_pwr,'340100042',gssb_burn,'',gssb_select,'1082676552',rw_set_speed,'186157239 -282638387',drp_test_system_vars,'',gssb_pwr,'-1901629601 617608571',gssb_msp_cal_temp,'698851301 -1714134172',com_send_cmd,'-1635662517 5Bk(>e>=D',obc_update_status,'',gssb_update_status,'',obc_get_mem,'',drp_set_deployed,'1187895826',gssb_msp_cal_temp,'818815302 2013683045',gssb_get_model,'',obc_update_tle,'',gssb_fss_get_sun,'',tm_get_last,'11046284770931967869',fp_del_cmd_unix,'-285379831',drp_add_hrs_alive,'-945178437',com_send_cmd,'1509324080 -V;c',gssb_reset,'',fp_show,'',drp_get_vars,'',com_send_cmd,'1484752800 3%o@e4TQ',obc_reset_wdt,'',gssb_fss_get_temp,'',obc_update_tle,'',com_set_node,'1175022522',set_state,'12785770249730763432 18308483446388953151 -1630788468',com_reset_wdt,'-1384514868',drp_get_vars,'',obc_set_pwm_duty,'531377415 1777831376',set_state,'1782921858712413298 2419470679979015231 -271958723',gssb_get_burn_config,'',gssb_unlock_config,'-843161436',com_send_cmd,'42312269 ?F1wR9pAj',fp_reset,'',gssb_get_uuid,'',gssb_unlock_config,'1527417463',-6,7.698708534240723,444020.0,10744.0
fp_test_params,"'2001706933 hGz',H 2079234197'",rw_get_current,'',gssb_select,'942036221',gssb_get_burn_config,'',com_set_node,'875749732',com_update_status,'',obc_debug,'-217373225',eps_update_status,'',drp_set_deployed,'-1125491765',gssb_arm_manual,'-325672380',fp_show,'',gssb_update_status,'',com_reset_wdt,'-918281432',gssb_get_version,'',fp_set_cmd,'1286123095 -199269124 -139325421 -2102572119 -1702790159 780361134 -1959429677 547968946 kTxGGfhS} ZMouh}N',obc_pwm_pwr,'-817775143',eps_get_config,'',com_ping,'331634532',com_send_rpt,'1633681406 ',obc_get_sensors,'',help,'',drp_set_var,'-1622135036 1356651233',eps_set_heater,'-1316755300 1333270426',gssb_get_temp_int,'',obc_pwm_pwr,'-1794657376',com_send_cmd,'-557015682 W',gssb_set_burn_config,'-1348264831 555396165 1564683675 1031072866 2110097456 456459857 -2094688029',com_get_config,'v^00',com_get_config,'rwp@_x',obc_pwm_pwr,'590304533',com_update_status,'',gssb_msp_get_temp,'',com_debug,'',com_send_data,"':""'",drp_clear_gnd_wdt,'',gssb_arm_manual,'1416263649',fp_test_params,'-880080843 B 1826416452',gssb_get_burn_config,'',gssb_antenna_release,'419522874 -1545431838 -1771215905 1685739924',obc_set_pwm_duty,'-114551621 967905050',fp_del_cmd,'942790083 637141587 -1565333139 -202687343 -1364475246 1272122863',drp_get_vars,'',gssb_arm_auto,'180421658',gssb_pwr,'1122674098 435251970',gssb_update_status,'',com_reset_wdt,'-1046145595',tm_send_status,'-170688936',test,'GW-*T#yk',obc_set_pwm_duty,'184746603 -1742056213',obc_prop_tle,'7426862743260027082',-6,7.346094131469727,444020.0,10568.0
gssb_burn,'',fp_del_cmd,'-522609170 714421915 1223865808 -748193096 84248369 1213528653',com_set_config,'*N&<xP| I+-Hh.I',com_ping,'-1619061863',com_set_node,'-110142836',obc_reset_wdt,'',gssb_get_temp,'',drp_set_var,'1927978456 -536691178',gssb_set_addr,'764136249',obc_set_pwm_freq,'-1248448373 -124145849990973808779532182902681885847',tm_set_ack,'14955889176684974646 3453916054347244576',obc_debug,'-1433035094',gssb_arm_auto,'48487646',rw_get_speed,'',gssb_get_model,'',obc_set_pwm_duty,'477758837 -899928775',gssb_get_status,'',com_send_tc,'-752100951 ',tm_send_last,'15668836241715577397 10383876836244234013',fp_test_params,'1276311620 w 638094351',fp_show,'',gssb_get_burn_config,'',gssb_get_model,'',gssb_scan,'279165984 603414565',drp_get_vars,'',drp_set_var,'-1854191136 -1484229058',gssb_get_temp_int,'',obc_prop_tle,'-6183273985735593357',gssb_arm_auto,'1608941736',com_debug,'',obc_reset_wdt,'',tm_send_status,'-507087136',tm_send_all,'13756957365460013733 9533196506040892650',drp_set_deployed,'-2109663190',gssb_arm_auto,'-167071681',drp_set_var,'-1312441913 -294528865',drp_get_vars,'',gssb_fss_commit_config,'',drp_add_hrs_alive,'-711505759',obc_get_tle,'',obc_prop_tle,'-2589575095846725930',tm_send_from,'15114064113816620731 10392992587868454072 12426080664663943716',com_get_node,'',eps_update_status,'',drp_test_system_vars,'',gssb_get_sun,'',drp_clear_gnd_wdt,'',obc_ident,'',tm_send_all,'3511464324889671163 11076018477282132738',drp_set_deployed,'258558514',-11,6.380640506744385,444020.0,10572.0
tm_send_all,'13802333607796620036 7631744438737336946',obc_get_tle,'',com_send_data,'',tm_set_ack,'5776563782766088069 5822609122363320244',gssb_antenna_release,'148640582 453638544 1857905297 -249359603',com_reset_wdt,'1841362558',obc_get_tle,'',gssb_select,'-940416032',drp_test_system_vars,'',init_dummy_sensor,'',fp_reset,'',gssb_fss_get_temp,'',com_send_cmd,'1165754836 ',set_state,'5508457932985788365 16012278144813941259 -1249973134',com_send_tc,'-1494729579 -^SZy',tm_send_last,'7536939847365310936 15132746163990594108',fp_set_cmd_dt,"'-539013991 -586950422 161266459 , ysv^Eg@Y}-'",tm_set_ack,'15586543600776816447 14786165040069851790',com_send_rpt,'997244898 +p3',drp_clear_gnd_wdt,'',gssb_burn,'',com_get_config,'q[[G',init_dummy_sensor,'',gssb_pwr,'-452495819 -1689500472',gssb_get_temp_int,'',gssb_set_addr,'-2081714406',gssb_fss_set_config,'-922877829',fp_set_cmd_unix,"'-1134819654 1544068174 -1924089868 2!K}^>z9 ,7Trpf2Z|'",eps_hard_reset,'',tm_send_from,'993359142388997927 536614759920777700 6164087132084193545',obc_get_tle,'',drp_set_var,'-893586830 1639199257',eps_set_heater,'-401925797 1552137677',obc_update_status,'',fp_test_params,'-1874775518 B[LC)bl -1607289547',fp_test_params,'-281013685 #| 218943805',eps_get_hk,'',obc_update_status,'',gssb_msp_get_temp,'',gssb_commit_addr,'',set_state,'12769526323482817064 5634642812043138626 90728011',obc_get_mem,'',drp_clear_gnd_wdt,'',gssb_arm_manual,'909110386',com_set_config,"'""12g`~+!e+ D.hH'",gssb_pwr,'-1440312432 -1475595606',gssb_msp_cal_temp,'-1567238521 1499407107',gssb_burn,'',com_ping,'-1555671105',eps_set_heater,'-908737405 -821420690',-6,12.756263017654419,444020.0,10492.0
gssb_fss_commit_config,'',gssb_burn,'',gssb_msp_get_temp,'',gssb_arm_manual,'-1123744997',gssb_fss_commit_config,'',gssb_pwr,'1703653997 1841023649',fp_del_cmd_unix,'417632968',set_state,'14212262489275527178 14917509586085663860 1610420845',eps_get_config,'',drp_ebf,'989706159',fp_show,'',gssb_commit_addr,'',fp_del_cmd_unix,'1941651773',tm_get_last,'8690986728342010153',com_reset_wdt,'-1229863490',obc_debug,'1545637378',rw_set_speed,'-1578811417 -1612750158',gssb_get_model,'',gssb_set_burn_config,'968225375 922791483 -1685056777 766980352 2011205297 47776188 2069312810',gssb_get_temp_int,'',drp_set_deployed,'666128063',gssb_get_version,'',obc_prop_tle,'3000913385697845110',gssb_unlock_config,'1884351262',obc_set_pwm_duty,'1368396139 1100832420',fp_del_cmd,'-383521121 -1077491599 -31268808 -820724786 992950521 -1761426548',com_ping,'482501519',obc_debug,'536902567',fp_test_params,'1203985472 W3Wf$L@-7q -445514085',gssb_unlock_config,'-537698550',fp_del_cmd_unix,'1654813464',tm_parse_status,'',gssb_set_burn_config,'-235623916 -1342758373 1437670447 852310556 -245967224 1491790337 -2014909618',gssb_get_temp,'',eps_get_config,'',tm_send_from,'3993247989161312549 11208891283705884488 14655844019795553920',fp_show,'',tm_parse_status,'',com_set_config,'~p/P3L#: \t+[',gssb_get_uuid,'',drp_test_system_vars,'',com_update_status,'',gssb_antenna_release,'-2139482622 -505686611 -1036312049 1427429424',gssb_get_temp_int,'',gssb_antenna_release,'957274267 -1696677774 -1350561038 310325476',gssb_burn,'',com_send_tc,'1433360998 iMex6p',gssb_pwr,'340326209 2001772317',tm_set_ack,'15822068402530916616 18285961825395286454',obc_get_time,'-1535111650',-6,6.609659910202026,444020.0,10744.0
com_set_node,'-1567290718',gssb_msp_get_temp,'',drp_ebf,'-1335471571',tm_parse_status,'',rw_set_speed,'1019400039 824442700',com_send_cmd,'-1632866070 <]}2\k[',fp_show,'',com_send_data,':]@#@tX',gssb_get_uuid,'',rw_set_speed,'-1852382373 -1889805891',obc_debug,'-1022808739',fp_set_cmd_unix,'1655032739 -48182461 61422951 -D0Nb\=+e /',fp_test_params,'1755488444 { -753497785',set_state,'17695753398661201263 6525525092983009271 1518219885',gssb_reset,'',gssb_get_status,'',obc_prop_tle,'4888527290689213818',com_get_node,'',tm_send_status,'1297030127',drp_ebf,'-743984801',gssb_select,'1347320325',fp_set_cmd,'-1667420583 1280485779 379331487 -1523685547 -2092967299 1558231144 -98930362 -137156436 un up',tm_send_status,'-21445550',gssb_get_model,'',gssb_scan,'1935108570 -862682891',gssb_fss_get_temp,'',com_reset_wdt,'1413274574',gssb_burn,'',com_send_tc,'11082331 8i<',com_update_status,'',gssb_msp_get_temp,'',fp_set_cmd,'-1906611124 927980046 962612907 -1863385981 -1434830183 -1482888165 2001302266 -1933315201 ) ['Z',com_set_node,'1875800707',fp_show,'',drp_ebf,'-1908494562',obc_ident,'',com_set_node,'-389243519',drp_set_var,'-346723346 -384393963',obc_reset_wdt,'',drp_get_vars,'',gssb_fss_get_sun,'',fp_del_cmd,'-2019312274 -456420631 -1446989915 274585747 -1408363017 957926745',gssb_get_version,'',com_get_node,'',gssb_msp_cal_temp,'489875600 765585313',fp_del_cmd,'622849081 463642031 289426484 -1967995795 991265383 219562211',gssb_get_sun,'',obc_get_sensors,'',eps_hard_reset,'',fp_show,'',-11,8.60283637046814,444020.0,10664.0
